Order_ID,Date,Region,Category,Product,Sales,Quantity,Discount,Profit,Customer_Rating
O1001,2026-01-03,South,Stationery,Notebook,587.1,2,0.05,129.16,4.1
O1002,2026-01-05,East,Furniture,Office Chair,22742.4,3,0.08,3411.36,4.2
O1003,2026-01-07,West,Electronics,Headphones,6180.0,4,0.0,865.2,4.3
O1004,2026-01-09,North,Stationery,Printer Paper,782.8,2,0.05,172.22,4.4
O1005,2026-01-11,South,Electronics,Monitor,28428.0,3,0.08,3979.92,4.5
O1006,2026-01-13,East,Stationery,Pen Set,618.0,4,0.0,135.96,4.6
O1007,2026-01-15,West,Electronics,Laptop,82194.0,2,0.05,11507.16,4.7
O1008,2026-01-17,North,Furniture,Desk,48327.6,3,0.08,7249.14,4.8
O1009,2026-01-19,South,Electronics,Smartphone,90640.0,4,0.0,12689.6,4.9
O1010,2026-01-21,East,Stationery,Notebook,587.1,2,0.05,129.16,4.0
O1011,2026-02-03,East,Stationery,Printer Paper,805.6,2,0.05,177.23,4.2
O1012,2026-02-05,West,Electronics,Monitor,29256.0,3,0.08,4095.84,4.3
O1013,2026-02-07,North,Stationery,Pen Set,636.0,4,0.0,139.92,4.4
O1014,2026-02-09,South,Electronics,Laptop,84588.0,2,0.05,11842.32,4.5
O1015,2026-02-11,East,Furniture,Desk,49735.2,3,0.08,7460.28,4.6
O1016,2026-02-13,West,Electronics,Smartphone,93280.0,4,0.0,13059.2,4.7
O1017,2026-02-15,North,Stationery,Notebook,604.2,2,0.05,132.92,4.8
O1018,2026-02-17,South,Furniture,Office Chair,23404.8,3,0.08,3510.72,4.9
O1019,2026-02-19,East,Electronics,Headphones,6360.0,4,0.0,890.4,4.0
O1020,2026-02-21,West,Stationery,Printer Paper,805.6,2,0.05,177.23,4.1
O1021,2026-03-03,West,Electronics,Laptop,86982.0,2,0.05,12177.48,4.3
O1022,2026-03-05,North,Furniture,Desk,51142.8,3,0.08,7671.42,4.4
O1023,2026-03-07,South,Electronics,Smartphone,95920.0,4,0.0,13428.8,4.5
O1024,2026-03-09,East,Stationery,Notebook,621.3,2,0.05,136.69,4.6
O1025,2026-03-11,West,Furniture,Office Chair,24067.2,3,0.08,3610.08,4.7
O1026,2026-03-13,North,Electronics,Headphones,6540.0,4,0.0,915.6,4.8
O1027,2026-03-15,South,Stationery,Printer Paper,828.4,2,0.05,182.25,4.9
O1028,2026-03-17,East,Electronics,Monitor,30084.0,3,0.08,4211.76,4.0
O1029,2026-03-19,West,Stationery,Pen Set,654.0,4,0.0,143.88,4.1
O1030,2026-03-21,North,Electronics,Laptop,86982.0,2,0.05,12177.48,4.2
O1031,2026-04-03,North,Stationery,Notebook,638.4,2,0.05,140.45,4.4
O1032,2026-04-05,South,Furniture,Office Chair,24729.6,3,0.08,3709.44,4.5
O1033,2026-04-07,East,Electronics,Headphones,6720.0,4,0.0,940.8,4.6
O1034,2026-04-09,West,Stationery,Printer Paper,851.2,2,0.05,187.26,4.7
O1035,2026-04-11,North,Electronics,Monitor,30912.0,3,0.08,4327.68,4.8
O1036,2026-04-13,South,Stationery,Pen Set,672.0,4,0.0,147.84,4.9
O1037,2026-04-15,East,Electronics,Laptop,89376.0,2,0.05,12512.64,4.0
O1038,2026-04-17,West,Furniture,Desk,52550.4,3,0.08,7882.56,4.1
O1039,2026-04-19,North,Electronics,Smartphone,98560.0,4,0.0,13798.4,4.2
O1040,2026-04-21,South,Stationery,Notebook,638.4,2,0.05,140.45,4.3
